"ResponseId","item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_31","item_32","item_33","item_34","item_35","item_36","item_37","item_38","item_39","item_40","item_41","item_42","item_43","item_44","item_45","item_46","item_47","item_48","item_49","item_50","item_51","gender","year_of_study","ethnicity","HM_or_not","stats_mod_num","sem"
"R_9q4iqgonJkoVxWj","5","4","5","4","3","2","5","5","1","2","3","3","4","4","2","3","4","4","4","4","4","4","5","3","5","3","3","3","2","1","4","1","3","4","3","4","3","5","5","4","2","2","4","3","5","2","2","5","2","2","5","Female",4,"Indian","nonHM",1,"AY25Sem2"
"R_4mFxAJd6JQlhVnx","3","3","2","2","3","2","3","4","1","3","3","3","3","4","2","2","1","3","2","3","2","3","2","2","2","2","1","3","2","1","1","1","1","1","1","4","2","3","2","1","2","2","3","3","2","2","2","3","2","1","2","Female",3,"Chinese","nonHM",3,"AY25Sem2"
"R_4M3YbmY5eGxCzGG","4","1","2","4","1","1","3","5","1","4","3","2","3","2","4","1","2","1","3","3","3","5","3","1","2","2","2","4","2","1","1","1","2","2","4","2","3","2","4","3","1","2","2","2","4","3","1","2","2","2","3","Female",4,"Other","nonHM",5,"AY25Sem2"
"R_4hQZ8z0UWxIYhdy","5","4","4","5","5","4","5","5","4","5","4","4","5","4","5","5","4","4","5","5","5","5","5","1","5","3","2","4","2","2","5","2","3","5","1","4","5","5","5","5","1","2","2","3","1","2","2","5","2","2","2","Female",4,"Chinese","nonHM",2,"AY25Sem2"
"R_9lSSp0McgPEqv1K","5","3","3","3","4","3","5","4","2","5","4","4","4","2","2","4","1","2","1","3","4","5","1","3","3","1","1","2","1","1","1","1","1","1","1","3","2","4","2","3","2","1","3","3","2","2","2","2","1","1","3","Female",3,"Chinese","nonHM",2,"AY25Sem2"
"R_9cjKrEfzXepn8tj","2","1","1","2","1","1","1","2","1","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","1","1","1","1","1","1","1","3","1","1","1","Female",5,"Chinese","nonHM",4,"AY25Sem2"
"R_4zOMMWZ18CtBGou","3","2","2","2","2","2","3","4","2","3","2","2","5","2","2","2","2","2","2","2","4","4","2","1","4","3","2","4","2","2","1","1","2","1","1","2","4","4","4","4","3","3","4","4","2","4","4","2","4","4","4","Female",3,"Chinese","nonHM",2,"AY25Sem2"
"R_9VRt7S8pIhanufL","4","3","4","4","2","3","4","5","1","4","3","3","4","4","4","4","3","3","4","3","4","5","3","2","2","2","1","2","1","1","2","1","1","2","2","4","3","4","2","2","2","2","2","4","2","2","2","2","2","2","3","Male",4,"Chinese","nonHM",3,"AY25Sem2"
"R_422TTtj7qFi0p5p","4","3","2","3","2","3","4","4","1","4","3","3","5","3","4","2","3","3","3","4","4","3","1","2","3","2","2","4","2","1","2","2","2","2","2","3","3","2","4","2","2","2","2","4","2","2","2","2","2","2","2","Female",3,"Chinese","nonHM",0,"AY25Sem2"
"R_9Qf87DAdfyHoh7V","3","2","4","1","1","2","4","4","1","3","1","2","4","3","4","4","1","3","1","2","1","5","2","1","2","1","1","2","1","1","1","4","2","1","1","1","2","3","3","2","2","2","1","4","2","3","2","3","2","1","4","Male",4,"Chinese","nonHM",5,"AY25Sem2"
"R_4aByHu8JTzouT17","2","1","4","3","1","2","4","4","1","5","2","1","3","1","1","1","1","2","1","3","1","3","1","1","2","1","1","2","1","2","1","1","1","1","1","3","2","3","2","1","1","1","3","2","1","3","3","2","2","1","4","Female",3,"Malay","nonHM",5,"AY25Sem2"
"R_9JqOqJweMjZ6WGZ","4","2","5","2","2","2","2","5","3","4","3","1","4","4","3","4","1","4","2","1","1","4","2","2","2","2","1","3","4","2","2","1","3","3","2","4","3","4","3","3","1","2","4","4","2","4","2","2","3","2","2","Male",4,"Chinese","nonHM",4,"AY25Sem2"
"R_9GOWyqMnuQakAgL","5","3","4","2","1","3","5","5","2","5","2","1","1","2","5","5","1","2","3","5","5","5","3","3","5","3","1","1","1","1","5","5","2","5","5","5","5","5","5","3","1","1","5","5","5","5","5","5","1","1","5","Female",3,"Other","nonHM",2,"AY25Sem2"
"R_9Nw4EVtgdkohGaF","2","3","1","3","1","2","3","4","1","4","1","2","4","2","3","1","2","1","2","3","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","3","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","Female",4,"Chinese","nonHM",10,"AY25Sem2"
"R_4OS2Ud8FhTceKM9","4","2","3","3","4","3","3","5","2","4","3","3","4","2","4","2","4","2","3","4","3","3","5","1","3","3","1","2","2","2","3","2","2","3","3","2","2","2","4","2","2","2","3","4","4","2","2","4","1","1","2","Female",4,"Chinese","nonHM",3,"AY25Sem2"
"R_43fyLgFkIIosPb5","3","2","4","3","2","2","3","3","2","3","2","2","3","2","3","4","2","3","3","2","4","2","3","4","4","3","2","3","1","1","1","1","2","2","1","2","1","2","3","2","1","2","3","3","2","2","3","2","1","2","2","Female",4,"Other","nonHM",2,"AY25Sem2"
"R_932f85PgKy6SjIh","3","3","5","3","4","2","4","3","2","2","3","3","4","4","1","5","3","2","4","3","2","2","4","1","3","4","4","2","1","2","1","1","2","3","4","4","3","4","2","3","1","2","2","3","3","1","1","3","3","2","4","Female",4,"Chinese","nonHM",3,"AY25Sem2"
"R_9kBa6R2tynDprbf","4","4","4","4","3","2","3","4","1","2","4","1","3","3","3","2","1","1","3","2","3","2","3","1","2","2","2","4","2","1","1","1","2","1","2","4","2","2","1","4","2","1","1","2","4","2","4","3","2","2","1","Female",4,"Chinese","nonHM",3,"AY25Sem2"
"R_4nBgvNAJnKlXfTt","5","4","3","4","2","2","2","5","1","1","1","3","5","1","2","1","1","1","1","1","1","4","1","1","1","2","1","3","2","1","1","1","1","1","1","1","1","2","2","2","1","1","3","4","3","3","1","3","1","1","2","Female",3,"Chinese","nonHM",3,"AY25Sem2"
"R_4b4rZipjYouINfH","4","1","2","3","2","1","3","3","1","2","2","1","2","1","2","2","1","1","2","1","2","3","2","2","3","1","1","1","1","1","1","1","1","2","1","4","2","3","2","2","2","1","4","1","1","1","1","1","1","1","3","Female",3,"Other","nonHM",2,"AY25Sem2"
"R_4NLox3nlRAIZojt","2","2","3","1","1","1","2","4","1","3","1","1","2","1","3","3","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","1","1","2","2","3","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","Female",4,"Chinese","nonHM",3,"AY25Sem2"
"R_4gBmBMFVW8gExis","4","2","4","4","3","2","4","5","2","5","4","4","4","4","4","4","2","2","3","2","4","2","2","3","5","3","3","2","1","1","3","1","1","1","2","1","3","1","4","4","2","2","3","3","4","1","1","4","2","1","2","Female",4,"Indian","nonHM",2,"AY25Sem2"
"R_9vZc3e4dNuNkxOv","5","3","1","4","3","3","4","5","1","3","4","3","5","2","1","1","1","1","1","2","2","5","2","1","5","2","2","2","2","1","3","1","2","4","3","2","2","3","2","2","1","1","1","1","2","2","1","2","1","1","2","Female",3,"Other","nonHM",2,"AY25Sem2"
"R_94PjeeMGRU0USls","4","5","3","2","2","2","4","3","3","3","3","2","2","2","4","2","2","3","1","3","2","4","1","2","2","2","2","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","2","1","1","1","1","1","1","1","Female",4,"Chinese","nonHM",2,"AY25Sem2"
"R_9MhfQFCnaEpWteI","3","2","2","2","1","2","3","3","1","3","2","1","4","3","2","2","1","1","2","3","1","4","2","1","1","2","2","2","2","1","1","1","1","1","1","1","3","3","3","1","1","1","1","1","1","1","1","3","1","1","1","Female",4,"Chinese","nonHM",2,"AY25Sem2"
"R_9JaetxJc9roXxIN","4","4","5","4","5","3","3","4","2","5","2","4","5","2","5","4","4","3","4","4","3","5","2","2","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","1","1","1","1","2","1","1","1","2","2","1","2","Male",4,"Malay","nonHM",5,"AY25Sem2"
"R_915RraHtwe8AFlI","5","4","5","5","2","4","4","5","3","4","3","2","5","3","5","5","3","2","2","3","5","5","2","2","5","3","2","3","2","5","5","4","2","5","2","5","3","5","5","5","1","1","5","3","5","5","4","4","2","2","5","Female",4,"Chinese","nonHM",3,"AY25Sem2"
"R_91H1h0RbkROZmvZ","3","4","2","4","5","3","5","4","4","4","4","4","5","3","3","2","3","3","3","3","3","4","4","3","4","4","1","3","2","2","2","1","2","2","2","3","2","2","3","2","1","1","4","2","4","2","4","3","4","2","3","Female",4,"Chinese","nonHM",5,"AY25Sem2"
"R_9Cq1X2WekAntb8s","2","2","4","4","2","1","3","3","4","2","4","2","2","1","3","3","3","2","4","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","3","1","2","2","2","1","Female",5,"Chinese","nonHM",5,"AY25Sem2"
"R_9vgL7Zti0cpZpBf","4","4","5","4","3","4","2","5","1","5","4","4","4","4","5","4","1","1","4","4","5","4","4","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","4","1","1","1","Female",4,"Chinese","nonHM",2,"AY25Sem2"
"R_9IWDMveVIdlBEXR","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Male",4,"Chinese","nonHM",4,"AY25Sem2"
"R_4azgzkYzuLqTjSF","3","1","3","2","2","1","1","4","1","4","1","2","3","1","3","3","1","1","3","1","2","2","3","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","Female",4,"Chinese","nonHM",3,"AY25Sem2"
"R_9PtwDcV8XYt6Yur","5","3","2","4","5","4","4","5","3","4","4","4","5","4","5","2","2","3","2","4","1","5","1","1","5","5","3","3","3","1","4","1","3","3","1","4","4","4","3","2","2","2","3","3","2","2","2","4","3","2","3","Female",4,"Chinese","nonHM",0,"AY25Sem2"
"R_4ZPpHAJfMdBfwQl","4","1","4","2","1","2","2","4","1","4","2","1","3","2","4","3","2","1","2","1","2","4","2","1","2","1","1","1","1","1","1","1","1","2","1","2","1","1","2","1","1","1","1","4","1","1","1","2","1","1","2","Female",3,"Chinese","nonHM",3,"AY24Sem1"
"R_4yC6UFIyGQQrWGl","5","3","4","5","2","4","5","5","1","5","3","4","2","3","5","2","1","2","4","4","5","1","4","2","5","5","1","5","3","1","4","2","4","5","5","4","5","5","3","5","2","3","5","4","5","4","5","4","4","4","5","Male",4,"Chinese","HM",3,"AY24Sem1"
"R_4Cqp8BbAUoGcoNJ","5","3","4","2","3","2","4","5","1","4","2","2","3","2","4","4","1","1","4","2","4","4","2","3","3","4","2","3","1","1","1","1","2","3","4","2","5","2","4","5","1","1","4","4","5","2","4","4","2","3","3","Female",4,"Chinese","HM",4,"AY24Sem1"
"R_42S9ZuwCdkNVr8K","2","1","4","1","1","1","3","3","1","4","1","1","3","1","2","4","1","1","4","1","2","2","4","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","3","1","1","1","Female",4,"Chinese","nonHM",3,"AY24Sem1"
"R_4ujuqcUIEvtwmGt","2","1","4","3","1","2","1","3","1","4","2","2","5","4","5","5","1","1","5","3","2","1","4","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","1","1","2","1","1","1","Male",4,"Chinese","nonHM",5,"AY24Sem1"
"R_4q7wg2n5nkqd3VI","2","2","2","2","1","1","2","2","5","2","2","2","3","2","3","2","1","4","2","2","5","5","2","2","3","1","1","1","1","1","1","3","1","3","3","2","3","3","3","3","1","1","3","3","1","1","1","2","1","2","2","Male",4,"Indian","HM",2,"AY24Sem1"
"R_4pS8twJpWmdcwJO","5","1","2","3","1","1","3","4","1","4","2","2","4","1","4","1","1","1","1","1","3","4","1","1","3","1","1","2","1","1","1","1","1","3","2","2","1","3","3","1","1","1","1","2","3","1","1","2","1","1","3","Male",4,"Chinese","nonHM",2,"AY24Sem1"
"R_4Vk0r2ZPYwm4hOw","4","3","4","4","4","4","4","5","2","3","4","4","5","3","4","2","1","2","2","2","2","5","2","1","4","3","2","2","1","3","2","4","2","2","2","4","2","5","3","4","2","2","4","3","2","2","4","4","2","2","4","Male",3,"Chinese","nonHM",2,"AY24Sem1"
"R_4hymyKs8w9S3T3T","2","1","2","2","3","1","1","4","1","4","1","1","2","1","3","2","1","1","2","1","1","2","2","1","1","1","1","3","1","1","2","1",NA,"1","2","3","1","1","3","1","1","1","4","3","1","1","1","4","1","1","1","Female",4,"Chinese","nonHM",3,"AY24Sem1"
"R_4QlrGQNZAFbwaym","3","2","4","2","3","3","4","4","2","4","4","2","4","4","4","3","2","1","2","4","3","2","2","3","5","3","2","2","2","2","4","1","2","3","1","4","2","5","4","2","1","2","4","3","4","2","1","5","2","2","4","Female",3,"Chinese","nonHM",3,"AY24Sem1"
"R_4qKKHnx2QA7xN3H","3","2","4","4","3","2","5","4","1","5","4","4","5","3","3","4","2","2","4","4","4","2","2","3","4","4","2","1","1","1","3","1","1","4","1","4","1","3","4","1","1","1","2","4","1","1","2","5","1","1","3","Female",4,"Chinese","nonHM",2,"AY24Sem1"
"R_4ot0ZdACUBfn2bM","4","2","4","4","3","2","3","5","1","3","2","2","3","2","3","4","1","1","3","2","3","2","3","2","3","2","2","2","1","1","3","1","1","2","2","2","2","3","3","2","1","2","2","2","2","2","2","4","2","2","3","Nonbinary",4,"Chinese","nonHM",3,"AY24Sem1"
"R_425yftpG7MQAXAU","4","3","2","3","3","2","3","4","1","5","2","2","4","3","5","2","1","1","2","3","3","3","1","2","4","3","2","3","2","2","3","1","2","3","3","2","3","3","4","3","2","2","2","2","4","2","2","4","2","2","4","Female",3,"Chinese","nonHM",3,"AY24Sem1"
"R_4ohTBeVMvTeWzd1","4","2","3","3","3","3","4","5","2","4","3","3","3","2","4","2","1","2","2","3","2","2","2","2","2","2","1","2","2","3","1","4","2","1","1","2","3","2","3","5","1","2","2","2","1","1","1","1","2","2","3","Male",4,"Chinese","nonHM",4,"AY24Sem1"
"R_4saiXQmPP3dnJ87","5","3","2","3","2","2","4","5","3","4","2","2","3","3","3","4","1","1","2","4","1","1","1","2","5","2","2","4","2","2","3","1","2","2","1","1","3","5","2","3","1","1","4","2","4","2","2","4","2","2","4","Male",3,"Chinese","nonHM",2,"AY24Sem1"
"R_4IlNpa2hzeMgnik","4","4","2","2","2","4","5","5","1","3","2","2","3","1","3","2","2","4","4","4","1","2","3","1","2","2","3","1","2","1","1","1","3","2","1","4","2","3","2","4","4","4","3","5","2","3","2","2","4","1","2","Female",4,"Chinese","nonHM",1,"AY24Sem1"
"R_478xVr8DoZnVBKW","2","1","1","1","2","1","3","3","1","1","1","2","2","2","3","1","1","1","1","1","1","4","1","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","2","1","1","1","1","1","1","1","2","Female",NA,"Chinese",NA,2,"AY24Sem1"
"R_4NWCbMJC23iv2rb","4","4","5","4","4","3","5","4","2","4","1","5","4","2","4","5","1","1","3","3","4","5","2","1","3","1","1","1","1","1","2","1","1","1","1","2","1","4","2","1","1","1","1","2","2","1","1","1","2","1","4","Female",3,"Chinese","nonHM",2,"AY24Sem1"
"R_4TLRYbiB80zriji","5","3","2","4","3","3","4","5","1","5","2","2","5","3","5","2","1","2","3","3","3","1","2","1","5","3","3","3","3","2","5","2","2","3","2","3","4","5","5","5","2","2","4","3","5","3","3","3","2","3","5","Male",5,"Chinese","HM",2,"AY24Sem1"
"R_4nO35bXBQDaYKl1","3","2","2","3","3","2","3","4","1","1","3","2","2","2","3","1","1","1","1","1","1","2","1","3","4","3","2","4","2","2","2","2","2","3","3","3","4","3","3","4","2","2","3","3","3","2","2","2","3","2","2","Female",3,"Chinese","nonHM",2,"AY24Sem1"
"R_4qC284pYHJTc6xH","4","2","3","2","3","2","3","5","2","4","3","2","2","1","4","2","1","4","3","2","3","4","3","3","4","4","2","3","2","2","3","2","2","2","3","3","2","4","2","2","2","2","4","4","4","2","2","4","3","2","4","Female",5,NA,"HM",2,"AY24Sem1"
"R_4EB0eneywEJHkM1","5","4","5","4","5","4","4","5","2","5","5","4","3","5","5","4","1","1","3","4","2","2","3","3","3","1","1","2","1","1","4","1","1","4","3","4","4","3","1","1","1","1","4","2","1","1","3","4","1","1","3","Female",4,"Chinese","nonHM",2,"AY24Sem1"
"R_4ebC4deHjTy4i6s","2","2","3","3","3","2","4","5","1","3","3","2","3","2","3","2","1","2","1","3","2","4","2","2","4","1","1","1","1","2","2","1","1","3","1","2","2","2","3","1","1","1","1","3","2","1","2","2","1","1","4","Male",4,"Chinese","nonHM",2,"AY24Sem1"
"R_4zo7TDoonfX25ae","5","1","4","3","1","1","3","5","1","5","2","1","3","1","5","3","1","1","4","1","3","4","3","2","3","2","1","3","1","1","2","1","1","2","3","3","2","4","3","1","1","1","3","2","1","2","2","3","1","1","4","Male",4,"Chinese","nonHM",3,"AY24Sem1"
"R_4R04bk0l9keumgF","3","3","4","3","2","2","3","3","1","2","2","2","2","2","2","3","1","2","2","1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","Male",4,"Chinese","nonHM",9,"AY24Sem1"
"R_42bfMCRlZdiZ3vV","5","3","2","4","2","2","4","5","1","4","2","3","3","1","3","3","1","2","3","3","3","4","3","2","4","4","2","4","2","1","1","1","2","2","2","3","4","2","2","3","2","2","1","1","2","1","1","1","2","1","1","Male",4,"Chinese","nonHM",2,"AY24Sem1"
